title_id,title,platform,year_of_release,genre,publisher,na_sales,eu_sales,jp_sales,other_sales,global_sales,critic_score,critic_count,user_score,user_count,developer,rating
24,A Vampyre Story,PC,2008.0,Adventure,Crimson Cow,0.0,0.01,0.0,0.0,0.02,75.0,33.0,8.5,25.0,Autumn Moon,T
25,A.C.E.: Another Century's Episode R,PlayStation3,2010.0,Simulation,Namco Bandai Games,0.0,0.0,0.26,0.0,0.26,,,,,,
26,AC/DC LIVE: Rock Band Track Pack,PlayStation3,2008.0,Misc,MTV Games,0.21,0.01,0.0,0.02,0.24,60.0,12.0,5.3,14.0,Harmonix Music Systems,T
27,Accel World: Ginyoku no Kakusei,PlayStation3,2012.0,Adventure,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,,,,,,
28,Accel World: Kasoku no Chouten,PlayStation3,2013.0,Adventure,Namco Bandai Games,0.0,0.0,0.02,0.0,0.02,,,,,,
29,Ace Combat: Assault Horizon,PlayStation3,2011.0,Action,Namco Bandai Games,0.3,0.15,0.22,0.07,0.74,77.0,28.0,6.7,82.0,Project Aces,T
30,Achtung Panzer: Kharkov 1943,PC,2010.0,Strategy,Mamba Games,0.0,0.01,0.0,0.0,0.02,70.0,6.0,8.3,20.0,Paradox Interactive,
31,Act of Aggression,PC,2015.0,Strategy,Focus Home Interactive,0.0,0.01,0.0,0.0,0.01,71.0,37.0,7.1,93.0,Eugen Systems,
32,Adventure Time: Explore the Dungeon Because I Don't Know!,PlayStation3,2013.0,Action,D3Publisher,0.02,0.01,0.0,0.01,0.05,,,,,,
33,Aegis of Earth: Protonovus Assault,PlayStation3,2016.0,Action,PQube,0.01,0.01,0.0,0.0,0.02,,,,,Acquire,T
34,Aegis of Earth: Protonovus Assault,PlayStation4,2016.0,Action,PQube,0.02,0.0,0.0,0.0,0.03,57.0,11.0,7.8,9.0,Acquire,T
35,Afrika,PlayStation3,2008.0,Adventure,Unknown,0.12,0.0,0.08,0.01,0.22,63.0,12.0,6.2,34.0,Rhino Studios,E10+
36,Afro Samurai,PlayStation3,2009.0,Action,Atari,0.12,0.05,0.0,0.03,0.2,65.0,52.0,6.1,27.0,"Namco Bandai Games America, Namco Bandai Games",M
37,After Hours Athletes,PlayStation3,2011.0,Sports,Sony Computer Entertainment,0.0,0.1,0.0,0.02,0.12,,,,,,
38,Agarest Senki: Re-appearance,PlayStation3,,Role-Playing,Idea Factory,0.0,0.0,0.01,0.0,0.01,,,,,,
39,Agatha Christie: And Then There Were None,PC,2008.0,Adventure,Big Fish Games,0.0,0.01,0.0,0.0,0.02,,,,,Oberon Media,T
40,Agatha Christie: Evil Under the Sun,PC,2009.0,Adventure,JoWood Productions,0.0,0.01,0.0,0.0,0.01,,,,,Oberon Media,T
41,Agatha Christie: The ABC Murders,PC,2016.0,Adventure,Microids,0.0,0.02,0.0,0.0,0.02,66.0,15.0,8.5,144.0,Artefacts Studio,
42,Agatha Christie's The ABC Murders,PlayStation4,2016.0,Adventure,Microids,0.01,0.01,0.0,0.0,0.03,67.0,17.0,6.2,12.0,Microids,T
43,Agatha Christie's The ABC Murders,XboxOne,2016.0,Adventure,Microids,0.01,0.0,0.0,0.0,0.01,66.0,7.0,7.5,8.0,Microids,
44,Age of Conan: Rise of the Godslayer,PC,2010.0,Role-Playing,Funcom,0.0,0.02,0.0,0.0,0.03,83.0,14.0,8.4,52.0,Funcom,M
45,Age of Empires II: The Age of Kings,PC,1999.0,Strategy,Microsoft Game Studios,0.01,0.08,0.0,0.01,0.09,92.0,21.0,9.0,801.0,Ensemble Studios,T
46,Age of Empires III,PC,2005.0,Strategy,Microsoft Game Studios,0.0,0.33,0.0,0.05,0.38,81.0,52.0,7.7,519.0,Ensemble Studios,T
47,Age of Empires III: Definitive Edition,PC,2009.0,Strategy,Microsoft Game Studios,0.01,0.12,0.0,0.03,0.17,,,8.5,41.0,Microsoft Game Studios,T
48,Age of Empires III: The Asian Dynasties,PC,2007.0,Strategy,Microsoft Game Studios,0.0,0.05,0.0,0.01,0.06,81.0,19.0,8.5,71.0,Big Huge Games,T
49,Age of Empires III: The WarChiefs,PC,2007.0,Strategy,Microsoft Game Studios,0.0,0.02,0.0,0.0,0.03,,,7.8,6.0,Ensemble Studios,T
50,Age of Empires Online,PC,2011.0,Strategy,Microsoft Game Studios,0.01,0.04,0.0,0.01,0.06,70.0,44.0,5.6,186.0,Gas Powered Games,E10+
51,Age of Empires: Definitive Edition,PC,2000.0,Strategy,Ubisoft,0.02,0.1,0.0,0.02,0.14,,,8.0,6.0,Ensemble Studios,T
