title_id,title,platform,release_date,score,user_score,developer,genre,critics,users,franchise
5853,Supreme Ruler 2020,PC,1-Jul-08,65,7.2,BattleGoatStudios,"Strategy,Turn-Based,Wargame,Turn-Based,General",17,39,
5854,Surgeon Simulator 2,PC,27-Aug-20,70,6.7,BossaStudios,"Simulation,Virtual,Career",17,15,
5855,Surgeon Simulator 2013,PC,19-Apr-13,71,5.9,BossaStudios,"Simulation,General,General,Virtual,Career",18,250,
5856,Surviving Mars,PC,3/15/2018,76,6.7,HaemimontGames,"Strategy,Management,Government",39,158,Surviving Mars
5857,Surviving Mars,XboxOne,3/15/2018,76,6.4,HaemimontGames,"Strategy,Management,Government",12,15,Surviving Mars
5858,Surviving Mars,PlayStation4,15-Mar-18,73,6.2,HaemimontGames,"Strategy,Management,Government",17,31,
5859,Sushi Striker: The Way of Sushido,Switch,6/8/2018,76,7.8,indieszero,"Puzzle,Matching",44,64,Sushi Striker
5860,Swarm,PlayStation3,22-Mar-11,71,7.3,HotheadGames,"Miscellaneous,General,General",28,4,
5861,SWAT 3: Elite Edition,PC,10/6/2000,81,8.0,SierraEntertainment,"Action,Shooter,Shooter,First-Person,Tactical,Modern",9,50,SWAT
5862,SWAT 4,PC,4/5/2005,85,8.6,IrrationalGames,"Action,Shooter,Shooter,First-Person,Modern,Arcade",49,295,SWAT
5863,SWAT 4: The Stetchkov Syndicate,PC,2/28/2006,80,8.0,IrrationalGames,"Action,Shooter,Shooter,First-Person,Modern,Arcade",19,62,SWAT
5864,Switchball,PlayStation3,18-Sep-09,68,5.0,AtomicElbow,"Miscellaneous,Puzzle,Action,Puzzle,General,Puzzle,General",8,6,
5865,Sword Art Online Re: Hollow Fragment,PlayStation4,28-Jul-15,65,7.2,"NamcoBandaiGames,BandaiNamcoGames,Aquria","Role-Playing,General,Action RPG",30,86,
5866,Sword Art Online: Fatal Bullet,XboxOne,23-Feb-18,72,7.4,DimpsCorporation,"Action,Shooter,Third-Person,Arcade",8,36,
5867,Sword Art Online: Hollow Realization,PlayStation4,8-Nov-16,69,7.6,"BandaiNamcoGames,Aquria","Role-Playing,Action RPG",34,93,
5868,Sword of the New World: Granado Espada,PC,12-Jul-07,66,7.7,IMCGames,"Role-Playing,Massively Multiplayer Online,Massively Multiplayer,Historic,Historic",18,49,
5869,Sword of the Stars,PC,17-Aug-06,68,7.3,KerberosProductions,"Strategy,Turn-Based,General,Sci-Fi,Sci-Fi",23,72,
