Game Name,Franchise,Release Year,Years Since,First Release Year,Main Genre,Tier by Score,Critics,Critic_Score,Users,User Score,Developer,Global Sales,Other Info
Madden NFL 17,Madden NFL,2016,16,2000,Sports,Tier 2,35,82,154,4.2,EASports,1.75,"Sports,Team,Football,Sim"
Madden NFL 18,Madden NFL,2017,17,2000,Sports,Tier 2,22,82,60,4.4,EASports,,"Sports,Team,Football,Sim"
Madden NFL 18,Madden NFL,2017,17,2000,Sports,Tier 2,40,82,151,3.5,ElectronicArts,,"Sports,Team,Football,Sim"
Madden NFL 19,Madden NFL,2018,18,2000,Sports,Tier 2,21,81,96,2.9,EATiburon,,"Sports,Team,Football,Sim"
Madden NFL 20,Madden NFL,2019,19,2000,Action,Tier 3,22,79,115,1.9,"ElectronicArts,EATiburon",,"Action,Sports,General,Team,Football,Sim"
Madden NFL 2001,Madden NFL,2000,0,2000,Sports,Tier 3,13,78,5,5.8,EASports,,"Sports,Traditional,Team,Football,Sim,Sim"
Madden NFL 2002,Madden NFL,2001,1,2000,Sports,Tier 3,10,71,10,6.8,EASports,,"Sports,Traditional,Team,Football,Sim,Sim"
Madden NFL 2003,Madden NFL,2002,2,2000,Sports,Tier 2,12,89,21,7.1,EASports,,"Sports,Traditional,Team,Football,Sim,Sim"
Madden NFL 2004,Madden NFL,2003,3,2000,Sports,Tier 1,13,91,28,7.1,EATiburon,,"Sports,Traditional,Team,Football,Sim,Sim"
Madden NFL 2005,Madden NFL,2004,4,2000,Sports,Tier 2,12,85,5,6.4,BudCat,,"Sports,Traditional,Team,Football,Sim,Sim"
Madden NFL 21,Madden NFL,2020,20,2000,Sports,Tier 4,20,69,994,0.4,EASports,,"Sports,Team,Football,Sim"
Madden NFL 25,Madden NFL,2013,13,2000,Sports,Tier 3,19,76,94,4.2,EASports,1.87,"Sports,Traditional,Team,Football,Arcade,Arcade,Sim"
Madden NFL 25,Madden NFL,2013,13,2000,Sports,Tier 3,13,74,125,5.2,EASports,0.9,"Sports,Traditional,Team,Football,Arcade,Arcade,Sim"
Madden NFL 25,Madden NFL,2013,13,2000,Sports,Tier 3,18,73,113,5.8,EASports,0.81,"Sports,Traditional,Team,Football,Arcade,Arcade,Sim"
Mafia,Mafia,2002,0,2002,Action Adventure,Tier 2,27,88,1561,9.1,IllusionSoftworks,0.04,"Action Adventure,Historic,Historic,Open-World"
Mafia II,Mafia,2010,8,2002,Action Adventure,Tier 3,46,77,2047,8.2,2KCzech,0.4,"Action Adventure,Historic,General,Historic,Open-World"
Mafia II,Mafia,2010,8,2002,Action Adventure,Tier 3,61,75,415,7.9,2KCzech,1.49,"Action Adventure,Historic,General,Historic,Open-World"
Mafia II: Definitive Edition,Mafia,2020,18,2002,Action Adventure,Tier 3,32,72,206,5.7,Hangar13,,"Action Adventure,Open-World"
Mafia II: Definitive Edition,Mafia,2020,18,2002,Action Adventure,Tier 4,11,66,57,6.1,Hangar13,,"Action Adventure,Open-World"
Mafia III,Mafia,2016,14,2002,Action Adventure,Tier 4,67,68,1769,5.3,Hangar13,1.81,"Action Adventure,Open-World"
Mafia III,Mafia,2016,14,2002,Action Adventure,Tier 4,21,67,412,5.0,Hangar13,0.62,"Action Adventure,Open-World"
Mafia: Definitive Edition,Mafia,2020,18,2002,Action Adventure,Tier 3,44,79,538,7.9,Hangar13,,"Action Adventure,Open-World"
Mafia: Definitive Edition,Mafia,2020,18,2002,Action Adventure,Tier 3,21,79,104,7.6,Hangar13,,"Action Adventure,Open-World"
Mafia: Definitive Edition,Mafia,2020,18,2002,Action Adventure,Tier 3,40,76,537,8.2,Hangar13,,"Action Adventure,Open-World"
Magic Duels: Origins,Magic,2015,13,2002,Strategy,Tier 3,12,77,62,6.1,StainlessGames,,"Strategy,Miscellaneous,Turn-Based,Board / Card Game,Card Battle"
Magic: Duels of the Planeswalkers 2014,Magic,2013,11,2002,Strategy,Tier 2,10,80,28,5.8,StainlessGames,,"Strategy,Miscellaneous,Turn-Based,Card Battle,Card Battle"
Magic: Duels of the Planeswalkers 2014,Magic,2013,11,2002,Strategy,Tier 3,19,77,115,6.1,StainlessGames,,"Strategy,Miscellaneous,Turn-Based,Card Battle,Card Battle"
Magic: The Gathering - Battlegrounds,Magic,2003,1,2002,Strategy,Tier 4,17,68,16,7.4,SecretLevel,,"Strategy,Real-Time,Fantasy,General,Fantasy"
Magic: The Gathering - Duels of the Planeswalkers,Magic,2010,8,2002,Strategy,Tier 4,9,69,50,4.8,StainlessGames,,"Strategy,Miscellaneous,Turn-Based,Card Battle,Card Battle"
