Game Name,Franchise,Platform,Release Year,Years Since,First Release Year,Main Genre,Tier by Score,Critics,Critic_Score,Users,User Score,Developer,Global Sales,Other Info
Dragon's Dogma,Dragon's Dogma,PlayStation,2012,0,2012,Action,Tier 3,38,78,462,8.4,Capcom,1.74,"Action,Role-Playing,General,Action RPG,Action RPG"
Dragon's Dogma: Dark Arisen,Dragon's Dogma,PlayStation,2013,1,2012,Role-Play,Tier 2,25,80,326,8.2,Capcom,0.03,"Role-Playing,Action RPG,Action RPG"
Dragon's Dogma: Dark Arisen,Dragon's Dogma,Xbox,2017,5,2012,Role-Play,Tier 2,8,80,43,7.8,Capcom,0.08,"Role-Playing,Action RPG"
Dragon's Dogma: Dark Arisen,Dragon's Dogma,PlayStation,2017,5,2012,Role-Play,Tier 3,24,78,181,8.1,Capcom,0.02,"Role-Playing,Action RPG"
Dragon's Dogma: Dark Arisen,Dragon's Dogma,Switch,2019,7,2012,Role-Play,Tier 3,39,78,102,8.4,Capcom,,"Role-Playing,Action RPG"
Dragon's Dogma: Dark Arisen,Dragon's Dogma,PC,2016,4,2012,Role-Play,Tier 2,62,81,540,8.1,"Capcom,QLOC",0.02,"Role-Playing,Action RPG"
Dragonshard,Dragonshard,PC,2005,0,2005,Strategy,Tier 2,24,80,53,7.4,LiquidEntertainment,,"Strategy,Real-Time,Fantasy,General,Fantasy"
Drakensang: The Dark Eye,Drakensang,PC,2009,0,2009,Role-Play,Tier 3,35,75,174,8.3,RadonLabs,,"Role-Playing,PC-style RPG,Western-Style"
Dreamfall: The Longest Journey,Dreamfall,PC,2006,0,2006,Adventure,Tier 3,45,75,584,8.5,Funcom,,"Adventure,3D,Fantasy,Third-Person,Fantasy"
Dreams,Dreams,PlayStation,2020,0,2020,General,Tier 2,80,89,1336,8.7,MediaMolecule,,"Miscellaneous,General,Action Adventure,Sandbox"
Driveclub Bikes,Driveclub Bike,PlayStation,2015,0,2015,Racing,Tier 3,29,79,122,7.4,EvolutionStudios,,"Racing,Simulation,Automobile"
Driver: San Francisco,Driver,PlayStation,2011,0,2011,Racing,Tier 3,53,79,132,7.6,UbisoftReflections,0.95,"Driving,Racing,Mission-based,Arcade,Mission-based,Automobile"
Driver: San Francisco,Driver,PC,2011,0,2011,Racing,Tier 2,11,80,406,7.2,UbisoftReflections,0.18,"Driving,Racing,Mission-based,Arcade,Mission-based,Automobile"
Dropsy,Dropsy,PC,2015,0,2015,Adventure,Tier 2,28,80,53,7.4,"Tendershoot,AJollyCorpse",,"Adventure,Point-and-Click"
Druidstone: The Secret of the Menhir Forest,Druidstone,PC,2019,0,2019,Role-Play,Tier 3,9,79,24,7.2,CtrlAltNinjaLtd.,,"Role-Playing,Western-Style"
Duck Game,Duck Game,Switch,2019,0,2019,Action,Tier 2,9,83,32,7.9,LandonPodbielski,,"Action,General"
Duelyst,Duelyst,PC,2016,0,2016,Fantasy,Tier 2,14,82,57,7.6,CounterplayGames,,"Fantasy,Strategy,Turn-Based,General"
Duke Nukem 3D,Duke Nukem,PC,1996,0,1996,Action,Tier 2,8,89,461,8.7,3DRealms,,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade"
Duke Nukem 3D: 20th Anniversary World Tour,Duke Nukem,PlayStation,2016,20,1996,Action,Tier 3,15,77,36,7.2,GearboxSoftware,0.03,"Action,Shooter,First-Person,Arcade"
Duke Nukem 3D: 20th Anniversary World Tour,Duke Nukem,PC,2016,20,1996,Action,Tier 3,9,72,42,6.8,GearboxSoftware,,"Action,Shooter,First-Person,Arcade"
Duke Nukem 3D: Megaton Edition,Duke Nukem,PlayStation,2015,19,1996,Action,Tier 3,7,70,23,7.2,AbstractionGames,0.41,"Action,Miscellaneous,Shooter,Compilation,First-Person,Sci-Fi"
Duke Nukem: Manhattan Project,Duke Nukem,PC,2002,6,1996,Action,Tier 3,24,78,62,7.7,SunstormInteractive,0.76,"Action,Shooter,Shooter,Scrolling,Scrolling,Shoot-''Em-Up,Horizontal"
Dungelot: Shattered Lands,Dungelot,PC,2016,0,2016,Role-Play,Tier 3,10,78,8,6.8,"RedWinterSoftwareLimited,RedWinterSoftware",,"Role-Playing,Strategy,Turn-Based,General,Tactics"
Dungeon Defenders,Dungeon Defend,PC,2011,0,2011,Role-Play,Tier 2,26,81,416,7.3,TrendyEntertainment,0.02,"Role-Playing,Action RPG,Action RPG"
Dungeon Defenders,Dungeon Defend,PlayStation,2011,0,2011,Role-Play,Tier 2,18,80,46,6.7,TrendyEntertainment,0.05,"Role-Playing,Action RPG,Action RPG"
Dungeon Siege,Dungeon Siege,PC,2002,0,2002,Role-Play,Tier 2,29,86,257,7.8,GasPoweredGames,,"Role-Playing,Action RPG,Action RPG"
Dungeon Siege II,Dungeon Siege,PC,2005,3,2002,Role-Play,Tier 2,51,80,201,7.8,GasPoweredGames,0.03,"Role-Playing,Action RPG,Action RPG"
Dungeon Siege III,Dungeon Siege,PC,2011,9,2002,Role-Play,Tier 3,37,72,423,4.7,ObsidianEntertainment,0.17,"Role-Playing,Action RPG,General,Action RPG"
Dungeon Siege III,Dungeon Siege,PlayStation,2011,9,2002,Role-Play,Tier 3,52,71,87,6.2,ObsidianEntertainment,0.39,"Role-Playing,General,Action RPG"
Dungeon Siege: Legends of Aranna,Dungeon Siege,PC,2003,1,2002,Role-Play,Tier 3,27,73,40,7.9,MadDocSoftware,,"Role-Playing,Action RPG,Action RPG"
Dungeon of the Endless,Dungeon of the,PC,2014,0,2014,Strategy,Tier 3,29,79,199,7.8,AmplitudeStudios,,"Strategy,Real-Time,General,Fantasy"
Dungeon of the Endless,Dungeon of the,Xbox,2016,2,2014,Strategy,Tier 3,13,78,21,7.4,AmplitudeStudios,,"Strategy,Real-Time,General"
Dungeons,Dungeons,PC,2011,0,2011,Strategy,Tier 4,35,65,107,4.6,RealmforgeStudios,0.09,"Strategy,General,General"
Dungeons 2,Dungeons,PC,2015,4,2011,Strategy,Tier 3,24,70,94,7.3,Kalypso,,"Strategy,General"
Dungeons 3,Dungeons,PC,2017,6,2011,Strategy,Tier 3,17,75,57,7.6,RealmforgeStudios,,"Strategy,General"
Dungeons & Dragons Online: Stormreach,Dungeons & Dragons,PC,2006,0,2006,Role-Play,Tier 3,33,74,74,6.9,TurbineInc.,,"Role-Playing,Massively Multiplayer Online,Massively Multiplayer,Fantasy,Fantasy"
Dungeons & Dragons: Chronicles of Mystara,Dungeons & Dragons,PlayStation,2013,7,2006,Action,Tier 2,18,83,68,6.8,IronGalaxyStudios,,"Action,Miscellaneous,Beat-''Em-Up,Compilation,Compilation"
Dungeons & Dragons: Chronicles of Mystara,Dungeons & Dragons,PC,2013,7,2006,Action,Tier 2,9,80,37,6.9,IronGalaxyStudios,,"Action,Miscellaneous,Beat-''Em-Up,Compilation"
Dungeons of Dredmor,Dungeons of Dr,PC,2011,0,2011,Role-Play,Tier 3,18,79,215,7.6,GaslampGames,,"Role-Playing,General,General,Roguelike"
Duskers,Duskers,PC,2016,0,2016,Strategy,Tier 2,10,83,18,6.8,MisfitsAttic,,"Strategy,General"
Dust: An Elysian Tail,Dust: An Elysian Tail,PC,2013,0,2013,Role-Play,Tier 2,7,85,513,8.5,HumbleHearts,,"Role-Playing,Action RPG,Action RPG"
Dustforce,Dustforce,PC,2012,0,2012,Action,Tier 3,35,79,110,7.5,Hitbox,,"Action,Platformer,Platformer,2D,2D"
Dyad,Dyad,PlayStation,2012,0,2012,Racing,Tier 2,33,82,54,5.9,RightSquareBracketLeftSquareBracketGames,,"Driving,Racing,Arcade,Futuristic,Futuristic"
Dying Light,Dying Light,PC,2015,0,2015,Horror,Tier 3,40,75,1691,8.0,Techland,0.2,"Horror,Horror,Action Adventure,Survival"
Dying Light,Dying Light,PlayStation,2015,0,2015,Horror,Tier 3,58,74,1569,7.9,Techland,2.09,"Horror,Action Adventure,Horror,Survival"
Dying Light,Dying Light,Xbox,2015,0,2015,Horror,Tier 3,26,74,448,7.8,Techland,1.29,"Horror,Action Adventure,Horror,Survival"
Dying Light: The Following,Dying Light,Xbox,2016,1,2015,Action Adventure,Tier 2,7,86,93,8.2,Techland,0.71,"Action Adventure,Survival"
Dying Light: The Following,Dying Light,PC,2016,1,2015,Action Adventure,Tier 3,33,79,164,8.3,Techland,0.34,"Action Adventure,Survival"
Dying Light: The Following,Dying Light,PlayStation,2016,1,2015,Action Adventure,Tier 3,24,78,160,8.0,Techland,0.91,"Action Adventure,Survival"
Dynasty Warriors 8: Xtreme Legends - Definitive Edition,Dynasty Warrio,Switch,2018,0,2018,Action,Tier 2,14,83,16,8.6,OmegaForce,,"Action,Beat-''Em-Up,3D"
EA Sports Active 2,EA Sports,PlayStation,2010,0,2010,Sports,Tier 3,20,78,14,5.4,EACanada,0.91,"Sports,Miscellaneous,General,Exercise / Fitness"
EA Sports MMA,EA Sports,PlayStation,2010,0,2010,Action,Tier 3,47,77,46,6.9,EATiburon,0.37,"Action,Sports,Fighting,Fighting,Individual,Wrestling,Wrestling,Combat,Boxing / Martial Arts"
EA Sports UFC 2,EA Sports,PlayStation,2016,6,2010,Sports,Tier 3,38,79,249,5.8,EASports,0.93,"Sports,General,Individual,Combat,Boxing / Martial Arts"
EA Sports UFC 2,EA Sports,Xbox,2016,6,2010,Sports,Tier 3,42,76,91,5.6,EASports,0.41,"Sports,General,Individual,Combat,Boxing / Martial Arts"
EA Sports UFC 3,EA Sports,Xbox,2018,8,2010,Sports,Tier 3,17,77,62,5.0,EASports,,"Sports,Individual,Combat,Boxing / Martial Arts"
EA Sports UFC 3,EA Sports,PlayStation,2018,8,2010,Sports,Tier 3,56,75,253,4.0,EASports,,"Sports,Individual,Combat,Boxing / Martial Arts"
EA Sports UFC 4,EA Sports,PlayStation,2020,10,2010,Sports,Tier 3,47,78,398,1.5,ElectronicArts,,"Sports,Individual,Combat,Boxing / Martial Arts"
ECHO,ECHO,PlayStation,2017,0,2017,Action Adventure,Tier 3,24,79,22,6.8,UltraUltra,,"Action Adventure,General"
ETHER One,ETHER One,PC,2014,0,2014,General,Tier 2,20,82,51,6.6,WhitePaperGames,,"General,Adventure,General,3D,First-Person"
ETHER One,ETHER One,PlayStation,2015,1,2014,General,Tier 3,8,75,97,4.7,WhitePaperGames,,"General,Adventure,3D,First-Person"
EVE Online,EVE,PC,2003,0,2003,Role-Play,Tier 4,22,69,322,7.3,CCP,0.2,"Role-Playing,Massively Multiplayer Online,Massively Multiplayer,Sci-Fi,Sci-Fi"
EVE Online: Special Edition,EVE,PC,2009,6,2003,Role-Play,Tier 2,9,88,404,7.7,CCP,,"Role-Playing,Miscellaneous,Massively Multiplayer Online,Compilation,Sci-Fi"
EVE: Valkyrie,EVE,PlayStation,2016,13,2003,Action,Tier 3,29,71,65,6.8,CCP,0.1,"Action,General,Simulation,Space,Combat"
EVE: Valkyrie,EVE,PC,2016,13,2003,Simulation,Tier 4,12,69,47,4.6,CCP,,"Simulation,Space,Combat"
EVERSPACE,EVERSPACE,PC,2017,0,2017,Action,Tier 3,18,79,69,7.5,ROCKFISHGames,,"Action,General,Simulation,Action Adventure,Space,Open-World,Combat"
EVERSPACE,EVERSPACE,PlayStation,2018,1,2017,Simulation,Tier 3,10,78,32,5.9,ROCKFISHGames,,"Simulation,Action Adventure,Space,Open-World,Combat"
EVERSPACE: Stellar Edition,EVERSPACE,Switch,2018,1,2017,Simulation,Tier 3,16,78,18,7.9,ROCKFISHGames,,"Simulation,Action Adventure,Space,Open-World,Combat"
EVERYTHING,EVERYTHING,PlayStation,2017,0,2017,Action Adventure,Tier 2,27,80,51,7.0,DavidOReilly,,"Action Adventure,Adventure,General"
Earth & Beyond,Earth & Beyond,PC,2002,0,2002,Role-Play,Tier 2,24,82,15,7.1,WestwoodStudios,,"Role-Playing,Massively Multiplayer Online,Massively Multiplayer,Sci-Fi,Sci-Fi"
Earth 2150,Earth 2150,PC,2000,0,2000,Strategy,Tier 3,22,78,48,7.8,TopWareInteractive,,"Strategy,Real-Time,Sci-Fi,Sci-Fi,General,Command"
Earth 2150: Lost Souls,Earth 2150,PC,2002,2,2000,Strategy,Tier 4,11,67,18,7.0,Zuxxez,,"Strategy,Real-Time,Sci-Fi,Sci-Fi,General"
Earth 2150: The Moon Project,Earth 2150,PC,2001,1,2000,Strategy,Tier 3,13,75,23,7.3,TopWareInteractive,,"Strategy,General,General"
EarthNight,EarthNight,PlayStation,2020,0,2020,Action,Tier 3,7,79,26,6.8,cleaversoft,,"Action,Platformer,2D"
Eastshade,Eastshade,PC,2019,0,2019,Adventure,Tier 3,21,78,47,8.0,EastshadeStudios,,"Adventure,3D,First-Person"
Echelon,Echelon,PC,2001,0,2001,Simulation,Tier 3,16,70,14,7.3,BukaEntertainment,,"Simulation,Flight,Sci-Fi,Small Spaceship,Futuristic Jet,Combat"
Echoes Of Aetheria,Echoes Of Aetheria,PC,2016,0,2016,Role-Play,Tier 3,7,77,12,7.1,DancingDragongames,0.08,"Role-Playing,Japanese-Style"
Edna & Harvey: Harvey's New Eyes,Edna & Harvey,PC,2012,0,2012,Adventure,Tier 3,19,75,93,7.6,DaedalicEntertainment,,"Adventure,General,General,Point-and-Click"
Eets,Eets,PC,2006,0,2006,Action,Tier 2,8,81,31,6.2,KleiEntertainment,,"Action,Platformer,Platformer,2D,2D"
El Shaddai: Ascension of the Metatron,El Shaddai,PlayStation,2011,0,2011,Action,Tier 3,46,78,44,7.6,IgnitionEntertainment,0.28,"Action,Action Adventure,General,Fantasy,General,Fantasy"
El Shaddai: Ascension of the Metatron,El Shaddai,PlayStation,2011,0,2011,Action,Tier 3,46,78,44,7.6,IgnitionEntertainment,0.28,"Action,Action Adventure,General,Fantasy,General,Fantasy"
Eldritch,Eldritch,PC,2013,0,2013,Action,Tier 3,14,77,49,6.6,MinorKeyGames,,"Action,General,General"
Element4l,Element4l,PC,2013,0,2013,Action,Tier 3,8,77,37,7.7,i-illusions,,"Action,Platformer,Platformer,2D,2D"
Elemental: Fallen Enchantress,Elemental,PC,2012,0,2012,Strategy,Tier 3,13,78,171,7.3,Stardock,,"Strategy,Turn-Based,Fantasy,General"
Elite: Dangerous,Elite,PC,2014,0,2014,Sci-Fi,Tier 2,54,80,1833,6.7,FrontierDevelopments,,"Sci-Fi,Large Spaceship,Large Spaceship,Simulation,Space,Civilian"
Elite: Dangerous,Elite,Xbox,2015,1,2014,Simulation,Tier 2,30,80,116,7.1,FrontierDevelopments,,"Simulation,Space,Civilian"
Elite: Dangerous,Elite,PlayStation,2017,3,2014,Simulation,Tier 3,17,77,116,7.0,FrontierDevelopments,,"Simulation,Space,Civilian"
Eliza,Eliza,PC,2019,0,2019,Adventure,Tier 2,7,84,21,5.7,ZachtronicsIndustries,,"Adventure,Visual Novel"
Else Heart.Break(),Else Heart.Bre,PC,2015,0,2015,Role-Play,Tier 3,10,79,16,7.2,ErikSvedang,,"Role-Playing,General"
Embers of Mirrim,Embers of Mirr,Switch,2017,0,2017,Action,Tier 3,9,76,10,7.6,CreativeBytes,,"Action,General"
Emergency: Fighters for Life,Emergency,PC,1998,0,1998,Strategy,Tier 3,9,71,10,7.9,TopWareInteractive,,"Strategy,General,General"
Emperor: Battle for Dune,Emperor,PC,2001,0,2001,Strategy,Tier 3,19,79,74,8.0,WestwoodStudios,,"Strategy,Real-Time,Sci-Fi,Sci-Fi,General"
Emperor: Rise of the Middle Kingdom,Emperor,PC,2002,1,2001,Strategy,Tier 3,15,77,37,7.7,BreakAwayGames,,"Strategy,City Building,Management,Historic,Historic,Government"
Empire Earth,Empire Earth,PC,2001,0,2001,Strategy,Tier 2,23,81,170,8.3,StainlessSteelStudios,0.05,"Strategy,Real-Time,Historic,General,Historic"
Empire Earth II,Empire Earth,PC,2005,4,2001,Strategy,Tier 3,39,79,109,7.1,MadDocSoftware,0.03,"Strategy,Real-Time,Historic,General,Historic"
Empire: Total War,Empire: Total War,PC,2009,0,2009,Strategy,Tier 1,62,90,3113,7.0,CreativeAssembly,1.08,"Strategy,Real-Time,Historic,General,Historic"
Empires: Dawn of the Modern World,Empires,PC,2003,0,2003,Strategy,Tier 2,22,81,63,7.9,StainlessSteelStudios,,"Strategy,Real-Time,Historic,General,Historic"
Endless Legend,Endless Legend,PC,2014,0,2014,Strategy,Tier 2,37,82,532,8.0,AmplitudeStudios,,"Strategy,Turn-Based,General,4X"
Endless Space,Endless Space,PC,2012,0,2012,Strategy,Tier 3,36,77,552,7.4,AmplitudeStudios,,"Strategy,Turn-Based,General,4X"
Endless Space 2,Endless Space ,PC,2017,0,2017,Strategy,Tier 2,48,80,154,7.8,AmplitudeStudios,,"Strategy,Turn-Based,4X"
Enemy Engaged: RAH-66 Comanche Versus Ka-52 Hokum,Enemy Engaged,PC,2000,0,2000,Simulation,Tier 2,11,86,17,7.2,Razorworks,,"Simulation,Flight,Helicopter,Helicopter,Combat,Civilian"
Enemy Territory: Quake Wars,Enemy Territor,PC,2007,0,2007,Action,Tier 2,55,84,242,8.3,SplashDamage,0.02,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade"
Enigma: Rising Tide,Enigma: Rising,PC,2003,0,2003,Simulation,Tier 3,13,77,15,5.7,TesseractionGames,,"Simulation,Ship,Ship,Marine,Civilian"
Enslaved: Odyssey to the West,Enslaved,PlayStation,2010,0,2010,Action Adventure,Tier 2,53,80,356,7.6,NinjaTheory,0.55,"Action Adventure,Modern,General,Modern"
Enslaved: Odyssey to the West - Pigsy's Perfect 10,Enslaved,PlayStation,2010,0,2010,Action Adventure,Tier 3,8,79,24,7.0,NinjaTheory,,"Action Adventure,Modern,General,Modern"
Enter the Gungeon,Enter the Gungeon,PC,2016,0,2016,Action,Tier 2,28,83,301,7.9,DodgeRoll,,"Action,General,Shooter,Shoot-''Em-Up,Top-Down"
Enter the Gungeon,Enter the Gungeon,PlayStation,2016,0,2016,Action,Tier 2,33,82,119,7.7,DodgeRoll,,"Action,General,Shooter,Shoot-''Em-Up,Top-Down"
Enter the Gungeon,Enter the Gungeon,Xbox,2017,1,2016,Action,Tier 2,11,85,22,7.2,DodgeRoll,,"Action,General,Shooter,Shoot-''Em-Up,Top-Down"
Enter the Gungeon,Enter the Gungeon,Switch,2017,1,2016,Action,Tier 2,18,87,192,7.9,DodgeRoll,,"Action,General,Shooter,Shoot-''Em-Up,Top-Down"
Escape Goat 2,Escape Goat,PC,2014,0,2014,Action,Tier 3,11,76,22,7.5,MagicalTimeBean,,"Action,Miscellaneous,Puzzle,Platformer,2D"
Escape from Monkey Island,Escape from Monkey Island,PC,2000,0,2000,Adventure,Tier 2,32,86,113,7.5,LucasArts,,"Adventure,3D,Fantasy,Third-Person,Fantasy"
Eternal Sonata,Eternal Sonata,PlayStation,2008,0,2008,Role-Play,Tier 2,34,80,132,7.9,Tri-Crescendo,0.44,"Role-Playing,Console-style RPG,Console-style RPG,Japanese-Style"
Etherborn,Etherborn,PlayStation,2019,0,2019,Adventure,Tier 3,15,75,17,7.5,AlteredMatter,,"Adventure,3D,First-Person,Third-Person"
Etherlords,Etherlords,PC,2001,0,2001,Strategy,Tier 3,11,77,41,7.5,NivalInteractive,,"Strategy,Turn-Based,General,General"
Etherlords II,Etherlords,PC,2003,2,2001,Strategy,Tier 3,17,78,52,7.6,NivalInteractive,,"Strategy,Turn-Based,Fantasy,General,Fantasy"
Euro Truck Simulator 2,Euro Truck Simulator,PC,2013,0,2013,Simulation,Tier 3,18,79,1318,8.7,SCSSoftware,0.13,"Simulation,General,General,Vehicle,Civilian"
Europa 1400: The Guild,Europa,PC,2002,0,2002,Strategy,Tier 2,14,82,27,8.4,4HeadStudios,,"Strategy,Real-Time,Historic,General,Historic"
Europa Universalis,Europa Universalis,PC,2001,0,2001,Strategy,Tier 2,11,86,40,7.6,ParadoxDevelopmentStudio,,"Strategy,General,General"
Europa Universalis II,Europa Universalis,PC,2001,0,2001,Strategy,Tier 2,11,87,91,8.7,ParadoxDevelopmentStudio,,"Strategy,Real-Time,Historic,General,Historic"
Europa Universalis III,Europa Universalis,PC,2007,6,2001,Strategy,Tier 2,25,83,214,8.4,ParadoxDevelopmentStudio,,"Strategy,General,General"
Europa Universalis III: Divine Wind,Europa Universalis,PC,2010,9,2001,Strategy,Tier 3,9,71,39,8.6,ParadoxDevelopmentStudio,,"Strategy,General,General"
Europa Universalis IV,Europa Universalis,PC,2013,12,2001,Strategy,Tier 2,34,87,1257,8.7,ParadoxDevelopmentStudio,,"Strategy,Real-Time,Historic,General,Historic"
Europa Universalis IV: Conquest of Paradise,Europa Universalis,PC,2014,13,2001,Strategy,Tier 2,8,81,55,7.7,ParadoxDevelopmentStudio,,"Strategy,Real-Time,Historic,General,Historic"
Europa Universalis IV: Wealth of Nations,Europa Universalis,PC,2014,13,2001,Strategy,Tier 2,9,84,28,8.4,ParadoxDevelopmentStudio,,"Strategy,Real-Time,General,Historic"
Europa Universalis: Rome,Europa Universalis,PC,2008,7,2001,Strategy,Tier 3,19,73,45,6.1,ParadoxDevelopmentStudio,,"Strategy,General,General"
Europa Universalis: Rome - Vae Victis,Europa Universalis,PC,2008,7,2001,Strategy,Tier 3,7,79,22,8.5,ParadoxDevelopmentStudio,,"Strategy,General,General"
Event[0],Event[0],PC,2016,0,2016,Adventure,Tier 3,34,75,51,6.9,OcelotSociety,,"Adventure,3D,First-Person"
EverQuest,EverQuest,PC,1999,0,1999,Role-Play,Tier 2,17,85,65,7.9,SonyOnlineEntertainment,,"Role-Playing,Massively Multiplayer Online,Massively Multiplayer,Fantasy,Fantasy"
EverQuest II,EverQuest,PC,2004,5,1999,Role-Play,Tier 2,43,83,87,7.4,SonyOnlineEntertainment,,"Role-Playing,Massively Multiplayer Online,Massively Multiplayer,Fantasy,Fantasy"
EverQuest II: Desert of Flames,EverQuest,PC,2005,6,1999,Role-Play,Tier 3,11,79,7,6.9,SonyOnlineEntertainment,,"Role-Playing,Massively Multiplayer Online,Massively Multiplayer,Fantasy,Fantasy"
EverQuest II: Echoes of Faydwer,EverQuest,PC,2006,7,1999,Role-Play,Tier 2,17,83,16,8.6,SonyOnlineEntertainment,,"Role-Playing,Massively Multiplayer Online,Massively Multiplayer,Fantasy,Fantasy"
EverQuest II: Kingdom of Sky,EverQuest,PC,2006,7,1999,Role-Play,Tier 3,9,76,5,6.6,SonyOnlineEntertainment,,"Role-Playing,Massively Multiplayer Online,Massively Multiplayer,Fantasy,Fantasy"
EverQuest II: Rise of Kunark,EverQuest,PC,2007,8,1999,Role-Play,Tier 2,9,83,16,7.6,SonyOnlineEntertainment,,"Role-Playing,Massively Multiplayer Online,Massively Multiplayer,Fantasy,Fantasy"
EverQuest: Gates of Discord,EverQuest,PC,2004,5,1999,Role-Play,Tier 2,7,85,7,7.3,SonyOnlineEntertainment,,"Role-Playing,Massively Multiplayer Online,Massively Multiplayer,Fantasy,Fantasy"
EverQuest: Lost Dungeons of Norrath,EverQuest,PC,2003,4,1999,Role-Play,Tier 3,12,79,4,7.0,SonyOnlineEntertainment,,"Role-Playing,Massively Multiplayer Online,Massively Multiplayer,Fantasy,Fantasy"
EverQuest: Omens of War,EverQuest,PC,2004,5,1999,Role-Play,Tier 2,8,86,8,8.0,SonyOnlineEntertainment,,"Role-Playing,Massively Multiplayer Online,Massively Multiplayer,Fantasy,Fantasy"
EverQuest: The Planes of Power,EverQuest,PC,2002,3,1999,Role-Play,Tier 2,10,81,6,7.0,SonyOnlineEntertainment,,"Role-Playing,Massively Multiplayer Online,Massively Multiplayer,Fantasy,Fantasy"
EverQuest: The Ruins of Kunark,EverQuest,PC,2000,1,1999,Role-Play,Tier 2,11,86,31,8.5,SonyOnlineEntertainment,,"Role-Playing,Massively Multiplayer Online,Massively Multiplayer,Fantasy"
EverQuest: The Scars of Velious,EverQuest,PC,2000,1,1999,Role-Play,Tier 2,9,82,8,7.3,SonyOnlineEntertainment,,"Role-Playing,Massively Multiplayer Online,Massively Multiplayer,Fantasy,Fantasy"
EverQuest: The Shadows of Luclin,EverQuest,PC,2001,2,1999,Role-Play,Tier 2,11,83,5,7.2,SonyOnlineEntertainment,,"Role-Playing,Massively Multiplayer Online,Massively Multiplayer,Fantasy"
Everybody's Golf,Everybody's Golf,PlayStation,2017,0,2017,General,Tier 3,48,78,159,7.6,"SCEI,ClapHanz",,"Traditional,Sports,Individual,Golf,Arcade"
Everybody's Gone to the Rapture,Everybody's Gone to the Rapture,PlayStation,2015,0,2015,Action,Tier 3,89,78,598,6.5,TheChineseRoom,,"Action,General,General,Adventure,3D,First-Person"
Everybody's Gone to the Rapture,Everybody's Gone to the Rapture,PC,2016,1,2015,Adventure,Tier 3,8,76,99,5.3,TheChineseRoom,,"Adventure,3D,First-Person"
Everyday Shooter,Everyday Shooter,PlayStation,2007,1,2006,Action,Tier 2,26,83,24,7.3,BackboneEntertainment,,"Action,Shooter,Shooter,Static,Static,Shoot-''Em-Up,Top-Down"
Everyday Shooter,Everyday Shooter,PC,2006,0,2006,Action,Tier 3,7,77,11,7.6,QueasyGames,,"Action,Shooter,Shooter,Static,Static,Shoot-''Em-Up,Top-Down"
Evil Genius,Evil Genius,PC,2004,0,2004,Strategy,Tier 3,51,75,125,8.3,ElixirStudios,0.02,"Strategy,Real-Time,Modern,General,Modern"
Evil Islands: Curse of the Lost Soul,Evil Islands,PC,2001,0,2001,Role-Play,Tier 3,17,74,59,7.9,NivalInteractive,,"Role-Playing,General,General"
Evolve,Evolve,PC,2015,0,2015,Action,Tier 3,39,77,967,4.3,TurtleRockStudios,0.19,"Action,Shooter,First-Person,Sci-Fi,Arcade"
Evolve,Evolve,PlayStation,2015,0,2015,Sci-Fi,Tier 3,46,76,928,4.3,TurtleRockStudios,0.96,"Sci-Fi,Action,Shooter,First-Person,Arcade"
Expeditions: Conquistador,Expeditions,PC,2013,0,2013,Role-Play,Tier 3,21,77,212,8.1,LogicArtists,0.14,"Role-Playing,General,General"
F.E.A.R.,F.E.A.R.,PlayStation,2007,2,2005,Action,Tier 3,31,72,77,7.6,Day1Studios,0.54,"Action,Shooter,Shooter,First-Person,Modern,Modern,Arcade"
F.E.A.R.,F.E.A.R.,PC,2005,0,2005,Action,Tier 2,57,88,1019,8.3,MonolithProductions,0.68,"Action,Shooter,Shooter,First-Person,Modern,Modern,Arcade"
F.E.A.R. 2: Project Origin,F.E.A.R.,PlayStation,2009,4,2005,Action,Tier 3,48,79,113,7.9,MonolithProductions,0.47,"Action,Shooter,Shooter,First-Person,Modern,Modern,Arcade"
F.E.A.R. 2: Project Origin,F.E.A.R.,PC,2009,4,2005,Action,Tier 3,49,79,617,7.7,MonolithProductions,0.07,"Action,Shooter,Shooter,First-Person,Modern,Modern,Arcade"
F.E.A.R. 3,F.E.A.R.,PC,2011,6,2005,General,Tier 3,34,74,506,5.8,Day1Studios,0.15,"Modern,Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade"
F.E.A.R. 3,F.E.A.R.,PlayStation,2011,6,2005,General,Tier 3,48,74,112,7.2,Day1Studios,0.45,"Modern,Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade"
F.E.A.R. Extraction Point,F.E.A.R.,PC,2006,1,2005,Action,Tier 3,30,75,172,7.5,"MonolithProductions,TimeGateStudios",,"Action,Shooter,Shooter,First-Person,Modern,Modern,Arcade"
F.E.A.R. Extraction Point,F.E.A.R.,PC,2006,1,2005,Action,Tier 3,30,75,172,7.5,"MonolithProductions,TimeGateStudios",,"Action,Shooter,Shooter,First-Person,Modern,Modern,Arcade"
F1 2012,F1,PlayStation,2012,12,2000,Racing,Tier 2,23,81,57,7.5,Codemasters,1.03,"Driving,Racing,Simulation,Formula One,Formula One,Automobile"
