game_name,franchise,platform,release_date,release_year,years_since,first_release_year,main_genre,tier_by_score,critics,critic_score,users,user_score,developer,global_sales,other_info
Nidhogg,Nidhogg,PC,2014-01-13,2014,0,2014,General,Tier 2,43,81,148,7,Messhof,,"General,Action,Miscellaneous,General"
Nidhogg 2,Nidhogg,PC,2017-08-15,2017,3,2014,Action,Tier 2,32,80,22,7,Messhof,,"Action,General"
Nidhogg 2,Nidhogg,Switch,2018-11-22,2018,4,2014,Action,Tier 3,12,75,8,8,Messhof,,"Action,General"
NieR: Automata,NieR,PC,2017-03-17,2017,7,2010,Role-Play,Tier 2,12,84,1331,9,PlatinumGames,,"Role-Playing,Action RPG"
Night in the Woods,Night in the Woods,PC,2017-02-21,2017,0,2017,Fantasy,Tier 2,30,88,331,8,InfiniteFall,,"Fantasy,Action Adventure,Adventure,General"
Night in the Woods,Night in the Woods,Switch,2018-02-01,2018,1,2017,Action Adventure,Tier 2,17,85,126,7,InfiniteFall,,"Action Adventure,Adventure,General"
Nihilumbra,Nihilumbra,PC,2013-09-24,2013,0,2013,Action,Tier 3,11,75,65,7,"BEAUTIFUNGAMESSL,BeautiFunGames",,"Action,Adventure,General,General,Platformer,2D"
Nintendo Labo: Toycon 01 Variety Kit,Nintendo Labo:,Switch,2018-04-20,2018,0,2018,General,Tier 3,23,77,206,7,Nintendo,,"Miscellaneous,Party / Minigame"
Nioh: Complete Edition,Nioh,PC,2017-11-07,2017,0,2017,Role-Play,Tier 2,23,84,279,7,TeamNinja,,"Role-Playing,Action RPG"
No More Heroes,No More Heroes,Switch,2020-10-28,2020,0,2020,Action,Tier 2,8,81,14,10,"EngineSoftware,GrasshopperManufacture",,"Action,Beat-''Em-Up,3D"
No More Heroes 2: Desperate Struggle,No More Heroes,Switch,2020-10-28,2020,0,2020,Action,Tier 2,7,83,11,9,"EngineSoftware,GrasshopperManufacture",,"Action,Beat-''Em-Up,3D"
No One Lives Forever 2: A Spy in H.A.R.M.'s Way,No One Lives Forever,PC,2002-09-30,2002,0,2002,Action,Tier 1,29,91,241,9,MonolithProductions,,"Action,Shooter,Shooter,First-Person,Modern,Modern,Arcade"
Noita,Noita,PC,2020-10-15,2020,0,2020,Adventure,Tier 3,17,78,19,8,NollaGames,,"Adventure,General,Action Adventure,Open-World"
Northgard,Northgard,PC,2018-03-07,2018,0,2018,Strategy,Tier 2,13,80,35,8,ShiroGames,,"Strategy,Turn-Based,4X"
Northgard,Northgard,Switch,2019-09-26,2019,1,2018,Strategy,Tier 3,7,77,10,8,ShiroGames,,"Strategy,Turn-Based,4X"
Not a Hero,Not a Hero,PC,2015-05-14,2015,0,2015,Action,Tier 3,57,75,51,7,roll7,,"Action,General,Platformer,Shooter,2D,Shoot-''Em-Up,Horizontal"
Not Tonight: Take Back Control Edition,Not Tonight,Switch,2020-01-31,2020,0,2020,Simulation,Tier 3,14,78,31,6,PanicBarnLtd,,"Simulation,Strategy,General,Virtual,Career"
Nowhere Prophet,Nowhere Prophet,Switch,2020-07-30,2020,0,2020,Strategy,Tier 2,7,81,14,6,SharkbombStudios,,"Strategy,Turn-Based,Card Battle"
Nuclear Throne,Nuclear Throne,PC,2015-12-05,2015,0,2015,General,Tier 2,15,89,211,8,Vlambeer,,"General,Action,General,Shooter,Shoot-''Em-Up,Top-Down"
Obduction,Obduction,PC,2016-08-24,2016,0,2016,Adventure,Tier 3,31,76,146,8,CyanWorlds,,"Adventure,3D,First-Person"
Obliteracers,Obliteracers,PC,2016-02-23,2016,0,2016,Racing,Tier 3,8,78,10,8,"SpaceDustStudios,VarkianEmpire",,"Racing,Arcade,Futuristic"
Observation,Observation,PC,2019-05-21,2019,0,2019,Adventure,Tier 3,29,79,152,7,NoCode,,"Adventure,General"
Observer,Observer,PC,2017-08-15,2017,0,2017,Adventure,Tier 3,43,78,258,8,BlooberTeam,,"Adventure,3D,First-Person"
