name,platform,r-date,score,user score,developer,genre,players,critics,users
Call of Duty 4: Modern Warfare,PC,5-Nov-07,92,8.5,InfinityWard,"Action,Shooter,Shooter,First-Person,Modern,Modern,Arcade",Up to 18 ,40,3197
Forza Horizon 4,XboxOne,28-Sep-18,92,8.1,PlaygroundGames,"Racing,Simulation,Automobile",Up to 12 ,88,1323
God of War III,PlayStation3,16-Mar-10,92,8.8,SCESantaMonica,"Action Adventure,Fantasy,Fantasy,Linear",No Online Multiplayer,101,3304
Divinity: Original Sin II - Definitive Edition,XboxOne,31-Aug-18,92,7.7,LarianStudiosGames,"Role-Playing,Western-Style",Online Multiplayer,12,129
NFL 2K3,GameCube,21-Aug-02,92,7.1,VisualConcepts,"Sports,Traditional,Football,Sim",4-Jan,24,13
SSX Tricky,PlayStation2,5-Nov-01,92,8.8,EACanada,"Sports,Alternative,Snowboarding",2-Jan,33,100
NHL 2002,PlayStation2,24-Sep-01,92,8.3,EASports,"Sports,Traditional,Ice Hockey,Sim",8-Jan,22,26
Guitar Hero II,Xbox360,3-Apr-07,92,8.1,HarmonixMusicSystems,"Action,Miscellaneous,Rhythm,Music,Music",2-Jan,55,236
Prince of Persia: The Sands of Time,PlayStation2,6-Nov-03,92,8.8,Ubisoft,"Action Adventure,Fantasy",1 Player,44,327
Uncharted 3: Drake's Deception,PlayStation3,1-Nov-11,92,8.4,NaughtyDog,"Action Adventure,Modern,Modern,Linear",Up to 10 ,97,4611
Rock Band,Xbox360,20-Nov-07,92,8,HarmonixMusicSystems,"Action,Miscellaneous,Rhythm,Music,Music",4  Online,72,187
Journey,PlayStation4,21-Jul-15,92,8.3,TrickyPixels,"Action,Platformer,3D",2,45,2233
Bloodborne,PlayStation4,24-Mar-15,92,8.9,FromSoftware,"Fantasy,Role-Playing,Action Adventure,General,Action RPG",Up to 5 ,100,10394
Eternal Darkness: Sanity's Requiem,GameCube,23-Jun-02,92,8.7,SiliconKnights,"Action Adventure,Horror",1 Player,41,219
